county_fips,state_name,county_name,pop_total,year,npopchg,net_mig_census,pop_growth_rate
27001,Minnesota,Aitkin County,15708,2020,19,45,
27001,Minnesota,Aitkin County,15954,2021,246,425,1.5660809778456741
27001,Minnesota,Aitkin County,16148,2022,194,307,1.2159959884668448
27001,Minnesota,Aitkin County,16131,2023,-17,89,-0.10527619519444809
27001,Minnesota,Aitkin County,16283,2024,152,294,0.9422850412249772
27001,Minnesota,Aitkin County,16252,2025,-31,115,-0.19038260762758163
27003,Minnesota,Anoka County,364474,2020,589,111,
27003,Minnesota,Anoka County,367557,2021,3083,1440,0.8458765234282906
27003,Minnesota,Anoka County,369468,2022,1911,798,0.5199193594462859
27003,Minnesota,Anoka County,373182,2023,3714,2386,1.0052291402773639
27003,Minnesota,Anoka County,377855,2024,4673,3329,1.2522040184146155
27003,Minnesota,Anoka County,381605,2025,3750,2373,0.9924441915549531
27005,Minnesota,Becker County,35184,2020,19,-5,
27005,Minnesota,Becker County,35322,2021,138,185,0.392223738062758
27005,Minnesota,Becker County,35355,2022,33,127,0.09342619330727775
27005,Minnesota,Becker County,35282,2023,-73,-16,-0.20647716023193263
27005,Minnesota,Becker County,35385,2024,103,161,0.2919335638569276
27005,Minnesota,Becker County,35497,2025,112,156,0.3165182987141524
27007,Minnesota,Beltrami County,46232,2020,12,-7,
27007,Minnesota,Beltrami County,46473,2021,241,112,0.5212839591624885
27007,Minnesota,Beltrami County,46687,2022,214,256,0.4604824306586597
27007,Minnesota,Beltrami County,46570,2023,-117,-118,-0.25060509349498217
27007,Minnesota,Beltrami County,46779,2024,209,156,0.4487867726003847
27007,Minnesota,Beltrami County,47055,2025,276,219,0.5900083370743214
27009,Minnesota,Benton County,41355,2020,-22,-40,
27009,Minnesota,Benton County,41545,2021,190,97,0.4594365856607441
27009,Minnesota,Benton County,41533,2022,-12,-40,-0.02888434227945602
27009,Minnesota,Benton County,41580,2023,47,-70,0.11316302699058145
27009,Minnesota,Benton County,41769,2024,189,96,0.454545454545463
27009,Minnesota,Benton County,41744,2025,-25,-132,-0.059853001029475106
27011,Minnesota,Big Stone County,5158,2020,-10,-7,
27011,Minnesota,Big Stone County,5167,2021,9,21,0.1744862349748022
27011,Minnesota,Big Stone County,5144,2022,-23,7,-0.44513257209212176
27011,Minnesota,Big Stone County,5098,2023,-46,-20,-0.8942457231726264
27011,Minnesota,Big Stone County,5079,2024,-19,8,-0.3726951745782636
27011,Minnesota,Big Stone County,5054,2025,-25,-2,-0.4922228785193883
27013,Minnesota,Blue Earth County,69202,2020,85,16,
27013,Minnesota,Blue Earth County,69387,2021,185,-22,0.2673333140660761
27013,Minnesota,Blue Earth County,70108,2022,721,644,1.0390995431420968
27013,Minnesota,Blue Earth County,70328,2023,220,78,0.31380156330234055
27013,Minnesota,Blue Earth County,70200,2024,-128,-197,-0.18200432260265798
27013,Minnesota,Blue Earth County,70634,2025,434,374,0.6182336182336101
27015,Minnesota,Brown County,25908,2020,-7,-10,
27015,Minnesota,Brown County,25904,2021,-4,33,-0.015439246564763476
27015,Minnesota,Brown County,25703,2022,-201,-115,-0.775941939468805
27015,Minnesota,Brown County,25628,2023,-75,-29,-0.29179473213243323
27015,Minnesota,Brown County,25571,2024,-57,9,-0.2224129857967827
27015,Minnesota,Brown County,25517,2025,-54,16,-0.21117672363224482
27017,Minnesota,Carlton County,36190,2020,-10,-23,
27017,Minnesota,Carlton County,36455,2021,265,341,0.732246476927334
27017,Minnesota,Carlton County,36738,2022,283,421,0.7762995473871825
27017,Minnesota,Carlton County,36694,2023,-44,114,-0.11976699874789443
27017,Minnesota,Carlton County,36725,2024,31,149,0.08448247669918807
27017,Minnesota,Carlton County,36711,2025,-14,104,-0.0381211708645357
27019,Minnesota,Carver County,107308,2020,389,241,
27019,Minnesota,Carver County,108911,2021,1603,1054,1.4938308420620938
27019,Minnesota,Carver County,110174,2022,1263,814,1.159662476701162
27019,Minnesota,Carver County,111076,2023,902,401,0.8187049576125149
27019,Minnesota,Carver County,112595,2024,1519,994,1.36753214015628
27019,Minnesota,Carver County,114379,2025,1784,1261,1.584439806385718
27021,Minnesota,Cass County,30152,2020,75,110,
27021,Minnesota,Cass County,30660,2021,508,664,1.6847970283894842
27021,Minnesota,Cass County,31246,2022,586,720,1.9112850619700028
27021,Minnesota,Cass County,31344,2023,98,262,0.3136401459386873
27021,Minnesota,Cass County,31424,2024,80,224,0.2552322613578406
27021,Minnesota,Cass County,31430,2025,6,159,0.019093686354376693
27023,Minnesota,Chippewa County,12606,2020,3,-2,
27023,Minnesota,Chippewa County,12376,2021,-230,-178,-1.8245280025384725
27023,Minnesota,Chippewa County,12358,2022,-18,-22,-0.14544279250161551
27023,Minnesota,Chippewa County,12313,2023,-45,-45,-0.3641365916814965
27023,Minnesota,Chippewa County,12394,2024,81,63,0.6578413059368238
27023,Minnesota,Chippewa County,12406,2025,12,1,0.09682104243988743
27025,Minnesota,Chisago County,56723,2020,99,25,
27025,Minnesota,Chisago County,57577,2021,854,786,1.505562117659509
27025,Minnesota,Chisago County,57998,2022,421,411,0.7311947479028191
27025,Minnesota,Chisago County,58647,2023,649,551,1.1190041035897824
27025,Minnesota,Chisago County,58947,2024,300,252,0.5115351168857751
27025,Minnesota,Chisago County,59142,2025,195,130,0.3308056389638159
27027,Minnesota,Clay County,65358,2020,40,-43,
27027,Minnesota,Clay County,65675,2021,317,11,0.48502096147373663
27027,Minnesota,Clay County,66133,2022,458,244,0.6973734297677892
27027,Minnesota,Clay County,66581,2023,448,232,0.677422769267988
27027,Minnesota,Clay County,67339,2024,758,744,1.138462924858441
27027,Minnesota,Clay County,67734,2025,395,218,0.5865842973611146
27029,Minnesota,Clearwater County,8565,2020,50,41,
27029,Minnesota,Clearwater County,8572,2021,7,19,0.08172796263865578
27029,Minnesota,Clearwater County,8638,2022,66,95,0.7699486700886604
27029,Minnesota,Clearwater County,8698,2023,60,44,0.6946052326927576
27029,Minnesota,Clearwater County,8655,2024,-43,-62,-0.49436652103932444
27029,Minnesota,Clearwater County,8647,2025,-8,-29,-0.09243212016175617
27031,Minnesota,Cook County,5598,2020,-4,2,
27031,Minnesota,Cook County,5626,2021,28,54,0.5001786352268667
27031,Minnesota,Cook County,5718,2022,92,106,1.6352648418058946
27031,Minnesota,Cook County,5620,2023,-98,-80,-1.7138859741168244
27031,Minnesota,Cook County,5537,2024,-83,-70,-1.4768683274021366
27031,Minnesota,Cook County,5522,2025,-15,-1,-0.270904822105833
27033,Minnesota,Cottonwood County,11517,2020,3,7,
27033,Minnesota,Cottonwood County,11592,2021,75,106,0.6512112529304614
27033,Minnesota,Cottonwood County,11409,2022,-183,-183,-1.5786749482401663
27033,Minnesota,Cottonwood County,11427,2023,18,13,0.15777018143570132
27033,Minnesota,Cottonwood County,11407,2024,-20,-19,-0.1750240658090485
27033,Minnesota,Cottonwood County,11405,2025,-2,-15,-0.017533093714383607
27035,Minnesota,Crow Wing County,66284,2020,163,156,
27035,Minnesota,Crow Wing County,67380,2021,1096,1274,1.6534910385613388
27035,Minnesota,Crow Wing County,67877,2022,497,733,0.7376075986939679
27035,Minnesota,Crow Wing County,68339,2023,462,556,0.6806429276485337
27035,Minnesota,Crow Wing County,68667,2024,328,439,0.47996019842257986
27035,Minnesota,Crow Wing County,69132,2025,465,574,0.6771811787321447
27037,Minnesota,Dakota County,440419,2020,533,11,
27037,Minnesota,Dakota County,442829,2021,2410,368,0.5472061832028086
27037,Minnesota,Dakota County,444023,2022,1194,-542,0.2696300377798222
27037,Minnesota,Dakota County,448612,2023,4589,3084,1.0335050211362828
27037,Minnesota,Dakota County,453755,2024,5143,3670,1.1464249730279263
27037,Minnesota,Dakota County,457710,2025,3955,2393,0.8716157397714586
27039,Minnesota,Dodge County,20895,2020,23,-13,
27039,Minnesota,Dodge County,20969,2021,74,-28,0.35415171093562403
27039,Minnesota,Dodge County,21044,2022,75,-20,0.3576708474414714
27039,Minnesota,Dodge County,21141,2023,97,-15,0.46093898498384966
27039,Minnesota,Dodge County,21281,2024,140,22,0.6622203301641427
27039,Minnesota,Dodge County,21376,2025,95,-27,0.44640759362812865
27041,Minnesota,Douglas County,39095,2020,91,91,
27041,Minnesota,Douglas County,39312,2021,217,302,0.555058191584612
27041,Minnesota,Douglas County,39662,2022,350,462,0.8903133903133797
27041,Minnesota,Douglas County,39873,2023,211,294,0.5319953607987538
27041,Minnesota,Douglas County,39953,2024,80,169,0.20063702254657922
27041,Minnesota,Douglas County,40120,2025,167,255,0.41799113958902456
27043,Minnesota,Faribault County,13899,2020,-19,-9,
27043,Minnesota,Faribault County,13909,2021,10,87,0.07194762213109662
27043,Minnesota,Faribault County,13959,2022,50,99,0.35947947372205746
27043,Minnesota,Faribault County,13936,2023,-23,6,-0.16476824987463612
27043,Minnesota,Faribault County,13906,2024,-30,12,-0.21526980482204916
27043,Minnesota,Faribault County,13888,2025,-18,25,-0.12944052926794347
27045,Minnesota,Fillmore County,21235,2020,11,9,
27045,Minnesota,Fillmore County,21333,2021,98,84,0.46150223687309033
27045,Minnesota,Fillmore County,21467,2022,134,157,0.6281348146064847
27045,Minnesota,Fillmore County,21497,2023,30,70,0.13974938277356852
27045,Minnesota,Fillmore County,21488,2024,-9,43,-0.041866306926552355
27045,Minnesota,Fillmore County,21540,2025,52,90,0.24199553239017124
27047,Minnesota,Freeborn County,30899,2020,3,4,
27047,Minnesota,Freeborn County,30815,2021,-84,-16,-0.27185345804071614
27047,Minnesota,Freeborn County,30696,2022,-119,14,-0.3861755638487785
27047,Minnesota,Freeborn County,30469,2023,-227,-82,-0.7395100338806304
27047,Minnesota,Freeborn County,30430,2024,-39,65,-0.12799894975220605
27047,Minnesota,Freeborn County,30440,2025,10,96,0.0328623069339562
27049,Minnesota,Goodhue County,47594,2020,6,-13,
27049,Minnesota,Goodhue County,48091,2021,497,548,1.0442492751187027
27049,Minnesota,Goodhue County,48103,2022,12,166,0.024952693851232333
27049,Minnesota,Goodhue County,48168,2023,65,75,0.13512670727398035
27049,Minnesota,Goodhue County,48149,2024,-19,-12,-0.03944527487128591
27049,Minnesota,Goodhue County,48195,2025,46,52,0.09553677127249749
27051,Minnesota,Grant County,6093,2020,18,13,
27051,Minnesota,Grant County,6146,2021,53,79,0.8698506482849089
27051,Minnesota,Grant County,6147,2022,1,4,0.01627074520011984
27051,Minnesota,Grant County,6161,2023,14,40,0.22775337563039066
27051,Minnesota,Grant County,6139,2024,-22,-11,-0.35708488881674993
27051,Minnesota,Grant County,6085,2025,-54,-45,-0.8796220882879902
27053,Minnesota,Hennepin County,1281663,2020,97,-1215,
27053,Minnesota,Hennepin County,1267341,2021,-14322,-18450,-1.117454432249354
27053,Minnesota,Hennepin County,1262045,2022,-5296,-9513,-0.4178827955538367
27053,Minnesota,Hennepin County,1263745,2023,1700,-2633,0.13470201141798643
27053,Minnesota,Hennepin County,1277084,2024,13339,9239,1.0555135727539966
27053,Minnesota,Hennepin County,1284784,2025,7700,3397,0.6029360637201719
27055,Minnesota,Houston County,18843,2020,5,-9,
27055,Minnesota,Houston County,18822,2021,-21,6,-0.11144722177997002
27055,Minnesota,Houston County,18740,2022,-82,-1,-0.43566039740728923
27055,Minnesota,Houston County,18682,2023,-58,7,-0.309498399146213
27055,Minnesota,Houston County,18535,2024,-147,-16,-0.7868536559254902
27055,Minnesota,Houston County,18400,2025,-135,-25,-0.7283517669274375
27057,Minnesota,Hubbard County,21395,2020,45,50,
27057,Minnesota,Hubbard County,21747,2021,352,407,1.6452442159383018
27057,Minnesota,Hubbard County,21919,2022,172,233,0.7909136892444879
27057,Minnesota,Hubbard County,22062,2023,143,181,0.6524020256398533
27057,Minnesota,Hubbard County,22115,2024,53,99,0.24023207324812557
27057,Minnesota,Hubbard County,22369,2025,254,303,1.1485417137689247
27059,Minnesota,Isanti County,41385,2020,257,250,
27059,Minnesota,Isanti County,41955,2021,570,514,1.3773106197897844
27059,Minnesota,Isanti County,42709,2022,754,711,1.797163627696352
27059,Minnesota,Isanti County,43198,2023,489,427,1.144957737245078
27059,Minnesota,Isanti County,43657,2024,459,403,1.0625491920922325
27059,Minnesota,Isanti County,44386,2025,729,682,1.6698353070527139
27061,Minnesota,Itasca County,45022,2020,26,38,
27061,Minnesota,Itasca County,45112,2021,90,286,0.19990227000132865
27061,Minnesota,Itasca County,45296,2022,184,450,0.40787373647810377
27061,Minnesota,Itasca County,45487,2023,191,389,0.42167078770751765
27061,Minnesota,Itasca County,45452,2024,-35,114,-0.07694506122628564
27061,Minnesota,Itasca County,45404,2025,-48,97,-0.10560591393118379
27063,Minnesota,Jackson County,9990,2020,2,-3,
27063,Minnesota,Jackson County,10005,2021,15,34,0.15015015015014122
27063,Minnesota,Jackson County,9900,2022,-105,-95,-1.0494752623688153
27063,Minnesota,Jackson County,9898,2023,-2,22,-0.020202020202020332
27063,Minnesota,Jackson County,9873,2024,-25,-5,-0.2525762780359653
27063,Minnesota,Jackson County,9857,2025,-16,-7,-0.16205813835713512
27065,Minnesota,Kanabec County,16054,2020,23,21,
27065,Minnesota,Kanabec County,16177,2021,123,195,0.7661641958390364
27065,Minnesota,Kanabec County,16465,2022,288,328,1.7803053718241868
27065,Minnesota,Kanabec County,16650,2023,185,194,1.1235955056179803
27065,Minnesota,Kanabec County,16624,2024,-26,-8,-0.15615615615615086
27065,Minnesota,Kanabec County,16628,2025,4,22,0.024061597690083758
27067,Minnesota,Kandiyohi County,43727,2020,-6,-70,
27067,Minnesota,Kandiyohi County,43813,2021,86,15,0.1966748233356963
27067,Minnesota,Kandiyohi County,44016,2022,203,104,0.4633328007668913
27067,Minnesota,Kandiyohi County,44387,2023,371,293,0.8428753180661497
27067,Minnesota,Kandiyohi County,44774,2024,387,301,0.8718769008944083
27067,Minnesota,Kandiyohi County,44720,2025,-54,-125,-0.12060570867020726
27069,Minnesota,Kittson County,4187,2020,-19,-12,
27069,Minnesota,Kittson County,4157,2021,-30,9,-0.7165034631000711
27069,Minnesota,Kittson County,4054,2022,-103,-67,-2.477748376232858
27069,Minnesota,Kittson County,4036,2023,-18,16,-0.44400592007893813
27069,Minnesota,Kittson County,4029,2024,-7,8,-0.1734390485629289
27069,Minnesota,Kittson County,4031,2025,2,12,0.049640109208248795
27071,Minnesota,Koochiching County,12027,2020,-34,-15,
27071,Minnesota,Koochiching County,11946,2021,-81,2,-0.6734846595160882
27071,Minnesota,Koochiching County,11847,2022,-99,-1,-0.8287292817679592
27071,Minnesota,Koochiching County,11744,2023,-103,-15,-0.8694184181649356
27071,Minnesota,Koochiching County,11594,2024,-150,-72,-1.2772479564032713
27071,Minnesota,Koochiching County,11587,2025,-7,72,-0.06037605658099077
27073,Minnesota,Lac qui Parle County,6692,2020,-21,-17,
27073,Minnesota,Lac qui Parle County,6693,2021,1,43,0.014943215780038877
27073,Minnesota,Lac qui Parle County,6676,2022,-17,-2,-0.2539967129837173
27073,Minnesota,Lac qui Parle County,6674,2023,-2,27,-0.02995805871779389
27073,Minnesota,Lac qui Parle County,6655,2024,-19,6,-0.2846868444710826
27073,Minnesota,Lac qui Parle County,6704,2025,49,70,0.7362885048835421
27075,Minnesota,Lake County,10923,2020,9,14,
27075,Minnesota,Lake County,11020,2021,97,168,0.8880344227776282
27075,Minnesota,Lake County,10933,2022,-87,7,-0.7894736842105288
27075,Minnesota,Lake County,10884,2023,-49,30,-0.448184395865725
27075,Minnesota,Lake County,10754,2024,-130,-67,-1.1944138184491027
27075,Minnesota,Lake County,10746,2025,-8,58,-0.07439092430723271
27077,Minnesota,Lake of the Woods County,3770,2020,-2,5,
27077,Minnesota,Lake of the Woods County,3832,2021,62,75,1.644562334217503
27077,Minnesota,Lake of the Woods County,3898,2022,66,64,1.7223382045929103
27077,Minnesota,Lake of the Woods County,3792,2023,-106,-96,-2.719343252950235
27077,Minnesota,Lake of the Woods County,3780,2024,-12,-1,-0.31645569620253333
27077,Minnesota,Lake of the Woods County,3770,2025,-10,2,-0.2645502645502673
27079,Minnesota,Le Sueur County,28633,2020,-30,-38,
27079,Minnesota,Le Sueur County,28902,2021,269,238,0.9394754304473896
27079,Minnesota,Le Sueur County,29175,2022,273,257,0.9445713099439423
27079,Minnesota,Le Sueur County,29289,2023,114,74,0.39074550128535
27079,Minnesota,Le Sueur County,29433,2024,144,107,0.4916521560995646
27079,Minnesota,Le Sueur County,29453,2025,20,-8,0.0679509394217348
27081,Minnesota,Lincoln County,5623,2020,-15,-8,
27081,Minnesota,Lincoln County,5576,2021,-47,-41,-0.8358527476436062
27081,Minnesota,Lincoln County,5606,2022,30,46,0.538020086083213
27081,Minnesota,Lincoln County,5584,2023,-22,-3,-0.39243667499108126
27081,Minnesota,Lincoln County,5591,2024,7,9,0.12535816618910456
27081,Minnesota,Lincoln County,5583,2025,-8,-16,-0.1430871042747306
27083,Minnesota,Lyon County,25429,2020,-94,-104,
27083,Minnesota,Lyon County,25500,2021,71,14,0.2792087773801466
27083,Minnesota,Lyon County,25521,2022,21,-93,0.08235294117646674
27083,Minnesota,Lyon County,25587,2023,66,-25,0.2586105560127061
27083,Minnesota,Lyon County,25785,2024,198,169,0.7738304607808555
27083,Minnesota,Lyon County,25684,2025,-101,-146,-0.3917006011246893
27085,Minnesota,McLeod County,36743,2020,-17,-28,
27085,Minnesota,McLeod County,36813,2021,70,89,0.19051247856733955
27085,Minnesota,McLeod County,36776,2022,-37,32,-0.10050797272702638
27085,Minnesota,McLeod County,36861,2023,85,91,0.2311289971720587
27085,Minnesota,McLeod County,36823,2024,-38,-15,-0.1030899867068169
27085,Minnesota,McLeod County,36631,2025,-192,-170,-0.5214132471553112
27087,Minnesota,Mahnomen County,5373,2020,-29,-24,
